"mRNA","uniprot_id","gene_name","microRNA","energy","targetStart","targetEnd","score"
"ENST00000373997","Q9NQ94","A1CF","hsa-miR-548ba",-11.6,6665,6687,0.998576249290048
"ENST00000374001","Q9NQ94","A1CF","hsa-miR-548ba",-11.6,6665,6687,0.998576249290048
"ENST00000380502","Q7Z4H7","HAUS6","hsa-miR-548ba",-10.31,2846,2873,0.998576249290048
"ENST00000395489","F8W9F8","A1CF","hsa-miR-548ba",-11.6,6665,6687,0.998576249290048
"ENST00000395495","Q9NQ94","A1CF","hsa-miR-548ba",-11.6,6665,6687,0.998576249290048
"ENST00000630695","P49459","UBE2A","hsa-miR-548ba",-11.61,961,1007,0.998576249290048
"ENST00000572008","P62244","RPS15A","hsa-let-7b-5p",-15.6,8,36,0.998573029849177
"ENST00000228515","Q9H175","CSRNP2","hsa-miR-548ba",-9.4,1656,1669,0.998563518799273
"ENST00000231368","Q9UIQ6","LNPEP","hsa-miR-548ba",-10.62,5044,5067,0.998563518799273
"ENST00000232974","Q9UFB7","ZBTB47","hsa-miR-548ba",-8.1,1266,1280,0.998563518799273
"ENST00000234453","Q9HB20","PLEKHA3","hsa-let-7b-5p",-17.7,5035,5058,0.998563518799273
"ENST00000249356","Q9UBS3","DNAJB9","hsa-let-7b-5p",-13.9,814,827,0.998563518799273
"ENST00000254190","Q86X52","CHSY1","hsa-miR-548ba",-12.1,384,400,0.998563518799273
"ENST00000260408","O14672","ADAM10","hsa-let-7b-5p",-12.5,2461,2474,0.998563518799273
"ENST00000261167","Q9Y2W2","WBP11","hsa-miR-548ba",-12.6,1305,1326,0.998563518799273
"ENST00000269195","Q10472","GALNT1","hsa-miR-548ba",-10.1,307,330,0.998563518799273
"ENST00000270014","Q12901","ZNF155","hsa-miR-548ba",-13.5,388,403,0.998563518799273
"ENST00000283243","Q13018","PLA2R1","hsa-miR-548ba",-11.6,3773,3786,0.998563518799273
"ENST00000286791","P57077","MAP3K7CL","hsa-miR-548ba",-15.5,681,710,0.998563518799273
"ENST00000297145","Q1RMZ1","BMT2","hsa-miR-548ba",-12.4,1455,1483,0.998563518799273
"ENST00000305817","Q9UKY0","PRND","hsa-miR-548ba",-8.2,2145,2158,0.998563518799273
"ENST00000310074","Q86TJ2","TADA2B","hsa-miR-548ba",-12.7,959,975,0.998563518799273
"ENST00000316459","D3DPQ1","ZBTB8A","hsa-miR-548ba",-11.1,401,414,0.998563518799273
"ENST00000323571","Q8TF74","WIPF2","hsa-miR-548ba",-11.1,3956,3969,0.998563518799273
"ENST00000334220","P36957","DLST","hsa-miR-548ba",-11.1,256,278,0.998563518799273
"ENST00000339024","P57077","MAP3K7CL","hsa-miR-548ba",-15.5,681,710,0.998563518799273
"ENST00000340067","Q4G0X4","KCTD21","hsa-miR-548ba",-8.6,1308,1326,0.998563518799273
"ENST00000341618","P57077","MAP3K7CL","hsa-miR-548ba",-15.5,681,710,0.998563518799273
"ENST00000342505","P23458","JAK1","hsa-miR-548ba",-15.06,717,740,0.998563518799273
"ENST00000357137","Q9NQH7","XPNPEP3","hsa-miR-548ba",-11.41,3564,3584,0.998563518799273
"ENST00000357460","Q8IX15","HOMEZ","hsa-miR-548ba",-10.7,1995,2010,0.998563518799273
"ENST00000369503","Q8IZD6","SLC22A15","hsa-miR-548ba",-9.7,1401,1415,0.998563518799273
"ENST00000377252","Q6UX71","PLXDC2","hsa-miR-548ba",-12,2048,2066,0.998563518799273
"ENST00000380523","Q9NWZ8","GEMIN8","hsa-miR-548ba",-12.2,354,367,0.998563518799273
"ENST00000394767","J9JIF5","CXXC4","hsa-miR-548ba",-10.3,1385,1410,0.998563518799273
"ENST00000399928","P57077","MAP3K7CL","hsa-miR-548ba",-15.5,681,710,0.998563518799273
"ENST00000399934","P57077","MAP3K7CL","hsa-miR-548ba",-15.5,681,710,0.998563518799273
"ENST00000399935","P57077","MAP3K7CL","hsa-miR-548ba",-15.5,681,710,0.998563518799273
"ENST00000399947","P57077","MAP3K7CL","hsa-miR-548ba",-15.5,681,710,0.998563518799273
"ENST00000460687","U3KQH1","KLHDC8A","hsa-miR-548ba",-11,11,23,0.998563518799273
"ENST00000477386",NA,"GEMIN8","hsa-miR-548ba",-12.2,354,367,0.998563518799273
"ENST00000497665","F8WAS9","METTL2B","hsa-miR-548ba",-10.9,503,521,0.998563518799273
"ENST00000502732","P42684","ABL2","hsa-miR-548ba",-9,2921,2946,0.998563518799273
"ENST00000515646","Q86TJ2","TADA2B","hsa-miR-548ba",-12.7,959,975,0.998563518799273
"ENST00000519973","Q9NYZ2","SLC25A37","hsa-miR-548ba",-13.4,754,768,0.998563518799273
"ENST00000540964","O60602","TLR5","hsa-miR-548ba",-9.8,681,698,0.998563518799273
"ENST00000545939","B4DFW0","MAP3K7CL","hsa-miR-548ba",-15.5,681,710,0.998563518799273
"ENST00000608990",NA,"C20orf203","hsa-miR-548ba",-9.7,1973,1987,0.998563518799273
"ENST00000611002","Q12901","ZNF155","hsa-miR-548ba",-13.5,388,403,0.998563518799273
"ENST00000612477","A0A087WZX3","WDFY2","hsa-miR-548ba",-9.1,1128,1146,0.998563518799273
"ENST00000630869","Q5TIH2","SFT2D2","hsa-miR-548ba",-11.5,159,177,0.998563518799273
"ENST00000642484",NA,NA,"hsa-miR-548ba",-9.7,513,527,0.998563518799273
"ENST00000642603",NA,NA,"hsa-miR-548ba",-9.8,681,698,0.998563518799273
"ENST00000642630",NA,NA,"hsa-miR-548ba",-9.7,2315,2329,0.998563518799273
"ENST00000645058",NA,NA,"hsa-miR-548ba",-9.7,902,916,0.998563518799273
"ENST00000646357",NA,NA,"hsa-miR-548ba",-9.7,381,395,0.998563518799273
"ENST00000648373",NA,NA,"hsa-miR-548ba",-13.3,982,997,0.998563518799273
"ENST00000671929",NA,NA,"hsa-miR-548ba",-15.06,717,740,0.998563518799273
"ENST00000671954",NA,NA,"hsa-miR-548ba",-15.06,717,740,0.998563518799273
"ENST00000672179",NA,NA,"hsa-miR-548ba",-15.06,717,740,0.998563518799273
"ENST00000672247",NA,NA,"hsa-miR-548ba",-15.06,717,740,0.998563518799273
"ENST00000672434",NA,NA,"hsa-miR-548ba",-15.06,717,740,0.998563518799273
"ENST00000673046",NA,NA,"hsa-miR-548ba",-15.06,717,740,0.998563518799273
"ENST00000673254",NA,NA,"hsa-miR-548ba",-15.06,717,740,0.998563518799273
"ENST00000679877",NA,NA,"hsa-miR-548ba",-12,3047,3067,0.998563518799273
"ENST00000680014",NA,NA,"hsa-miR-548ba",-8.1,1266,1280,0.998563518799273
"ENST00000680122",NA,NA,"hsa-miR-548ba",-12,1569,1589,0.998563518799273
"ENST00000680138",NA,NA,"hsa-miR-548ba",-12,1186,1206,0.998563518799273
"ENST00000680255",NA,NA,"hsa-miR-548ba",-12.2,354,367,0.998563518799273
"ENST00000680514",NA,NA,"hsa-miR-548ba",-12,1446,1466,0.998563518799273
"ENST00000360905","Q8IUD2","ERC1","hsa-miR-548ba",-9.4,158,177,0.998563287952463
"ENST00000397203","Q8IUD2","ERC1","hsa-miR-548ba",-9.4,158,177,0.998563287952463
"ENST00000543086","Q8IUD2","ERC1","hsa-miR-548ba",-9.4,158,177,0.998563287952463
"ENST00000554752","P80192","MAP3K9","hsa-miR-548ba",-13.5,270,289,0.998563287952463
"ENST00000589028","Q8IUD2","ERC1","hsa-miR-548ba",-9.4,158,177,0.998563287952463
"ENST00000649117",NA,NA,"hsa-miR-548ba",-12.5,28,41,0.998563287952463
"ENST00000369239","Q8TF01","PNISR","hsa-let-7b-3p",-12.4,1473,1497,0.998560960487992
"ENST00000481229",NA,"PNISR","hsa-let-7b-3p",-12.4,1473,1497,0.998560960487992
"ENST00000647811",NA,NA,"hsa-let-7b-3p",-12.4,1473,1497,0.998560960487992
"ENST00000681615",NA,NA,"hsa-let-7b-3p",-12.4,1214,1238,0.998560960487992
"ENST00000303145","Q8TC05","MDM1","hsa-miR-548ba",-12.6,9,19,0.99855886125679
"ENST00000411698","Q8TC05","MDM1","hsa-miR-548ba",-12.6,9,19,0.99855886125679
"ENST00000539972","H0YGX6","MDM1","hsa-miR-548ba",-12.6,9,19,0.99855886125679
"ENST00000682720",NA,NA,"hsa-miR-548ba",-12.6,9,19,0.99855886125679
"ENST00000263045","P54108","CRISP3","hsa-miR-548ba",-13.11,359,409,0.998554662063033
"ENST00000433368","P54108","CRISP3","hsa-miR-548ba",-13.11,359,409,0.998554662063033
"ENST00000261647","Q6DKK2","TTC19","hsa-miR-548ba",-10.8,1585,1608,0.998552781308971
"ENST00000326495","Q8WYL5","SSH1","hsa-miR-548ba",-12,8695,8724,0.998552781308971
"ENST00000367519","O95278","EPM2A","hsa-miR-548ba",-13.6,1934,1967,0.998552781308971
"ENST00000370466","P32456","GBP2","hsa-miR-548ba",-12.2,1853,1872,0.998552781308971
"ENST00000374371","Q5VVY4","ZFAND4","hsa-miR-548ba",-9.3,869,891,0.998552781308971
"ENST00000638554",NA,NA,"hsa-miR-548ba",-13.6,2464,2497,0.998552781308971
"ENST00000639423",NA,NA,"hsa-miR-548ba",-13.6,1934,1967,0.998552781308971
"ENST00000646633",NA,NA,"hsa-miR-548ba",-10.8,3281,3303,0.998552781308971
"ENST00000680141",NA,NA,"hsa-let-7b-3p",-13.81,28,79,0.998551141101733
"ENST00000228347","Q9NW08","POLR3B","hsa-miR-548ba",-11,468,489,0.998549950069172
"ENST00000261015","Q9GZL7","WDR12","hsa-miR-548ba",-11.97,5502,5549,0.998549950069172
"ENST00000276609","Q8TE54","SLC26A7","hsa-miR-548ba",-12.62,2299,2340,0.998549950069172
"ENST00000302640","Q14643","ITPR1","hsa-miR-548ba",-14.5,3280,3313,0.998549950069172
"ENST00000310455","Q86XI6","PPP1R3B","hsa-miR-548ba",-13.4,3696,3717,0.998549950069172
"ENST00000368045","P09326","CD48","hsa-miR-548ba",-8.5,958,980,0.998549950069172
"ENST00000400897","O00187","MASP2","hsa-miR-548ba",-14.6,251,275,0.998549950069172
"ENST00000415760","A6PVS8","LRRIQ3","hsa-miR-548ba",-10.6,2729,2764,0.998549950069172
"ENST00000419687","Q8TAV0","FAM76A","hsa-miR-548ba",-14.21,710,746,0.998549950069172
"ENST00000539066","Q9NW08","POLR3B","hsa-miR-548ba",-11,468,489,0.998549950069172
"ENST00000617078","A0A087WZI7","SLC26A7","hsa-miR-548ba",-12.62,2299,2340,0.998549950069172
"ENST00000617233","Q8TE54","SLC26A7","hsa-miR-548ba",-12.62,2299,2340,0.998549950069172
"ENST00000621032","Q6MZR7","MDM4","hsa-miR-548ba",-11.7,4105,4126,0.998549950069172
"ENST00000645121",NA,NA,"hsa-miR-548ba",-13.4,3696,3717,0.998549950069172
"ENST00000665812",NA,NA,"hsa-miR-548ba",-12.1,1524,1545,0.998549950069172
"ENST00000680468",NA,NA,"hsa-miR-548ba",-14.09,2350,2397,0.998549950069172
"ENST00000681936",NA,NA,"hsa-miR-548ba",-14.09,446,493,0.998549950069172
"ENST00000264318","P48169","GABRA4","hsa-let-7b-5p",-17.7,4019,4037,0.998545264512298
"ENST00000265361","Q99985","SEMA3C","hsa-let-7b-3p",-15.8,474,499,0.998545264512298
"ENST00000270364","Q9HC96","CAPN10","hsa-let-7b-3p",-12.9,392,412,0.998545264512298
"ENST00000285697","Q6PH81","C16orf87","hsa-let-7b-3p",-12.64,2611,2641,0.998545264512298
"ENST00000287916","P56749","CLDN12","hsa-let-7b-5p",-17.3,524,557,0.998545264512298
"ENST00000298198","Q6PCE3","PGM2L1","hsa-let-7b-3p",-15.51,2266,2307,0.998545264512298
"ENST00000306901","P36544","CHRNA7","hsa-let-7b-5p",-19.9,2463,2482,0.998545264512298
"ENST00000307602","Q86VS8","HOOK3","hsa-let-7b-3p",-12.7,7084,7105,0.998545264512298
"ENST00000311895","Q92889","ERCC4","hsa-let-7b-5p",-17.06,1429,1467,0.998545264512298
"ENST00000334705","Q658Y4","FAM91A1","hsa-let-7b-3p",-15.9,553,582,0.998545264512298
"ENST00000335450","Q8NER5","ACVR1C","hsa-let-7b-5p",-16.4,72,97,0.998545264512298
"ENST00000338086","Q8TB72","PUM2","hsa-let-7b-3p",-16.2,1227,1246,0.998545264512298
"ENST00000348328","Q8NER5","ACVR1C","hsa-let-7b-5p",-16.4,72,97,0.998545264512298
"ENST00000360820","Q6P3W7","SCYL2","hsa-let-7b-5p",-16.99,618,675,0.998545264512298
"ENST00000361078","Q8TB72","PUM2","hsa-let-7b-3p",-16.2,1227,1246,0.998545264512298
"ENST00000361427","P05204","HMGN2","hsa-let-7b-3p",-16.5,705,731,0.998545264512298
"ENST00000361762","O60245","PCDH7","hsa-let-7b-3p",-11.4,939,971,0.998545264512298
"ENST00000368655","Q8WXI9","GATAD2B","hsa-let-7b-3p",-14.3,3529,3550,0.998545264512298
"ENST00000370952","Q9H9A6","LRRC40","hsa-let-7b-3p",-11.2,206,219,0.998545264512298
"ENST00000373173","Q6UXV4","APOOL","hsa-let-7b-3p",-11.16,3938,3973,0.998545264512298
"ENST00000376019","A0A0C4DFW4","TEX30","hsa-let-7b-3p",-11.8,167,190,0.998545264512298
"ENST00000376021","A0A0C4DFW4","TEX30","hsa-let-7b-3p",-11.8,167,190,0.998545264512298
"ENST00000376027","Q5JUR7","TEX30","hsa-let-7b-3p",-11.8,303,326,0.998545264512298
"ENST00000394605","P56749","CLDN12","hsa-let-7b-5p",-17.3,524,557,0.998545264512298
"ENST00000394806","Q6PH81","C16orf87","hsa-let-7b-3p",-12.64,2611,2641,0.998545264512298
"ENST00000394907","Q8WWG1","NRG4","hsa-let-7b-3p",-12,1769,1795,0.998545264512298
"ENST00000402673","Q9Y6B6","SAR1B","hsa-let-7b-5p",-17.1,2044,2073,0.998545264512298
"ENST00000409680","Q8NER5","ACVR1C","hsa-let-7b-5p",-16.4,72,97,0.998545264512298
"ENST00000425382","A1L3X0","ELOVL7","hsa-let-7b-3p",-12.96,788,828,0.998545264512298
"ENST00000436874","Q9HBM0","VEZT","hsa-let-7b-5p",-16.9,897,915,0.998545264512298
"ENST00000440577","A0A0C4DG68","PUM2","hsa-let-7b-3p",-16.2,1227,1246,0.998545264512298
"ENST00000469232","A0A0C4DG93","NPHP3","hsa-let-7b-3p",-16.46,733,776,0.998545264512298
"ENST00000496677","P56749","CLDN12","hsa-let-7b-5p",-17.3,524,557,0.998545264512298
"ENST00000505959","D6RHD0","ELOVL7","hsa-let-7b-3p",-12.96,788,828,0.998545264512298
"ENST00000507359","Q68DU8","KCTD16","hsa-let-7b-3p",-11.3,4083,4106,0.998545264512298
"ENST00000508821","A1L3X0","ELOVL7","hsa-let-7b-3p",-12.96,788,828,0.998545264512298
"ENST00000512467","Q68DU8","KCTD16","hsa-let-7b-3p",-11.3,4083,4106,0.998545264512298
"ENST00000515425","Q8TF17","SH3TC2","hsa-let-7b-3p",-10.4,10389,10409,0.998545264512298
"ENST00000519721","G3V120","FAM91A1","hsa-let-7b-3p",-15.9,2420,2449,0.998545264512298
"ENST00000576019","I3L4P9","VPS53","hsa-let-7b-3p",-15.1,438,460,0.998545264512298
"ENST00000576342","Q8WXI9","GATAD2B","hsa-let-7b-3p",-14.3,3529,3550,0.998545264512298
"ENST00000594759","M0R0Q7","LIG1","hsa-let-7b-3p",-14.1,813,841,0.998545264512298
"ENST00000601091","P18858","LIG1","hsa-let-7b-3p",-14.1,813,841,0.998545264512298
"ENST00000613473","A0A087WYF7","APOOL","hsa-let-7b-3p",-11.16,3938,3973,0.998545264512298
"ENST00000613670","P18858","LIG1","hsa-let-7b-3p",-14.1,813,841,0.998545264512298
"ENST00000623646",NA,"UG0898H09","hsa-let-7b-5p",-14.56,6414,6450,0.998545264512298
"ENST00000635101","A0A0U1RQQ9","SCYL2","hsa-let-7b-5p",-16.99,618,675,0.998545264512298
"ENST00000675893",NA,NA,"hsa-let-7b-3p",-11.61,1420,1450,0.998545264512298
"ENST00000679961",NA,NA,"hsa-let-7b-3p",-15.1,438,460,0.998545264512298
"ENST00000681120",NA,NA,"hsa-let-7b-3p",-15.1,438,460,0.998545264512298
"ENST00000682617",NA,NA,"hsa-let-7b-5p",-17.06,1429,1467,0.998545264512298
"ENST00000370132","P11182","DBT","hsa-miR-548ba",-16.89,8446,8483,0.99854025043255
"ENST00000217133","Q9H4B7","TUBB1","hsa-let-7b-3p",-15.15,513,576,0.998537789521872
"ENST00000257787","Q53H80","AKIRIN2","hsa-let-7b-3p",-14.09,276,321,0.998537789521872
"ENST00000261402","O60285","NUAK1","hsa-let-7b-5p",-18.61,978,1034,0.998537789521872
"ENST00000310528","Q9Y2Z0","SUGT1","hsa-let-7b-5p",-15.66,8055,8077,0.998537789521872
"ENST00000323482","Q9NUB1","ACSS1","hsa-let-7b-3p",-14.23,667,698,0.998537789521872
"ENST00000328199","Q6ZS27","ZNF662","hsa-let-7b-3p",-16.66,788,815,0.998537789521872
"ENST00000341071","Q9NW68","BSDC1","hsa-let-7b-5p",-20.7,914,934,0.998537789521872
"ENST00000358465","Q9UPN9","TRIM33","hsa-let-7b-3p",-21.21,1766,1812,0.998537789521872
"ENST00000359646","Q9NTZ6","RBM12","hsa-let-7b-3p",-15.52,1708,1745,0.998537789521872
"ENST00000361539","Q9C0B6","BRINP2","hsa-let-7b-5p",-15.32,501,521,0.998537789521872
"ENST00000369750","Q13641","TPBG","hsa-let-7b-5p",-23.21,329,362,0.998537789521872
"ENST00000374114","Q9NTZ6","RBM12","hsa-let-7b-3p",-15.52,1708,1745,0.998537789521872
"ENST00000383763","Q2Q1W2","TRIM71","hsa-let-7b-5p",-16.3,2668,2711,0.998537789521872
"ENST00000389118","Q9H2T7","RANBP17","hsa-let-7b-3p",-15.03,913,951,0.998537789521872
"ENST00000403627","Q969W3","FAM104A","hsa-let-7b-5p",-21.5,468,498,0.998537789521872
"ENST00000405159","Q969W3","FAM104A","hsa-let-7b-5p",-21.5,468,498,0.998537789521872
"ENST00000413432","H7C3M7","FARP2","hsa-let-7b-5p",-20.96,712,758,0.998537789521872
"ENST00000420396","Q8NHP1","AKR7L","hsa-let-7b-5p",-17.3,54,82,0.998537789521872
"ENST00000429712",NA,"AKR7L","hsa-let-7b-5p",-17.3,54,82,0.998537789521872
"ENST00000440367","Q6ZS27","ZNF662","hsa-let-7b-3p",-16.66,788,815,0.998537789521872
"ENST00000458153","F8WEY7","MKLN1","hsa-let-7b-3p",-14.02,1296,1364,0.998537789521872
"ENST00000477564","F2Z3M3","SERHL2","hsa-let-7b-3p",-12.92,643,709,0.998537789521872
"ENST00000502732","P42684","ABL2","hsa-let-7b-5p",-18.32,3456,3506,0.998537789521872
"ENST00000519256","Q9H2T7","RANBP17","hsa-let-7b-3p",-15.03,1134,1172,0.998537789521872
"ENST00000519949","Q9H2T7","RANBP17","hsa-let-7b-3p",-15.03,973,1011,0.998537789521872
"ENST00000522066","Q8IVM9","RANBP17","hsa-let-7b-3p",-15.03,1082,1120,0.998537789521872
"ENST00000522533","Q9H2T7","RANBP17","hsa-let-7b-3p",-15.03,913,951,0.998537789521872
"ENST00000527939","E9PPP9","BCO2","hsa-let-7b-5p",-18.16,157,215,0.998537789521872
"ENST00000528361","E9PKZ9","TMEM126B","hsa-let-7b-5p",-21.33,715,748,0.998537789521872
"ENST00000534964","Q32MH5","FAM214A","hsa-let-7b-5p",-20.67,239,270,0.998537789521872
"ENST00000535040","Q13641","TPBG","hsa-let-7b-5p",-23.21,329,362,0.998537789521872
"ENST00000537502","Q9NUB1","ACSS1","hsa-let-7b-3p",-14.23,667,698,0.998537789521872
"ENST00000541363","F5H2U8","HMGA2","hsa-let-7b-3p",-14.76,4869,4904,0.998537789521872
"ENST00000543496","Q13641","TPBG","hsa-let-7b-5p",-23.21,329,362,0.998537789521872
"ENST00000634817","Q13641","TPBG","hsa-let-7b-5p",-23.21,329,362,0.998537789521872
"ENST00000634826","Q13641","TPBG","hsa-let-7b-5p",-23.21,329,362,0.998537789521872
"ENST00000635101","A0A0U1RQQ9","SCYL2","hsa-let-7b-3p",-16.3,96,159,0.998537789521872
"ENST00000642438",NA,NA,"hsa-let-7b-5p",-19.1,328,347,0.998537789521872
"ENST00000643806",NA,NA,"hsa-let-7b-5p",-19.2,1187,1227,0.998537789521872
"ENST00000643876",NA,NA,"hsa-let-7b-5p",-19.1,384,403,0.998537789521872
"ENST00000644855",NA,NA,"hsa-let-7b-5p",-19.1,373,392,0.998537789521872
"ENST00000646223",NA,NA,"hsa-let-7b-3p",-13.16,4108,4142,0.998537789521872
"ENST00000302528","P30622","CLIP1","hsa-miR-548ba",-8.22,1186,1258,0.99853335971459
"ENST00000358808","P30622","CLIP1","hsa-miR-548ba",-8.22,1186,1258,0.99853335971459
"ENST00000361654","J3KP58","CLIP1","hsa-miR-548ba",-8.22,1186,1258,0.99853335971459
"ENST00000451013","A0A0A0MSY2","GTF2IRD2","hsa-let-7b-5p",-17.45,438,485,0.99853335971459
"ENST00000472837","Q6EKJ0","GTF2IRD2B","hsa-let-7b-5p",-17.45,440,487,0.99853335971459
"ENST00000545889","F5H0N7","CLIP1","hsa-miR-548ba",-8.22,1186,1258,0.99853335971459
"ENST00000620786","P30622","CLIP1","hsa-miR-548ba",-8.22,1186,1258,0.99853335971459
"ENST00000594045","M0R252","ZFP36","hsa-let-7b-5p",-18.8,416,439,0.998532972057879
"ENST00000610493","A0A087WUU4","CCL16","hsa-let-7b-5p",-20,1374,1391,0.998532972057879
"ENST00000631489","A0A087WUU4","CCL16","hsa-let-7b-5p",-20,1374,1391,0.998532972057879
"ENST00000266682","Q9H2J7","SLC6A15","hsa-miR-548ba",-10.6,361,382,0.998518501254734
"ENST00000295729","Q6ZU64","CFAP65","hsa-miR-548ba",-8.1,903,926,0.998518501254734
"ENST00000309283","F8WJN6","SLC6A15","hsa-miR-548ba",-10.6,588,609,0.998518501254734
"ENST00000328550","Q7Z3V5","ZNF571","hsa-miR-548ba",-11.9,1049,1071,0.998518501254734
"ENST00000371244","P54646","PRKAA2","hsa-miR-548ba",-14.3,1449,1466,0.998518501254734
"ENST00000610361","A0A087WXX9","PRKAA2","hsa-miR-548ba",-14.3,1449,1466,0.998518501254734
"ENST00000679430",NA,NA,"hsa-miR-548ba",-10.6,2109,2130,0.998518501254734
"ENST00000679989",NA,NA,"hsa-miR-548ba",-10.6,1768,1789,0.998518501254734
"ENST00000680187",NA,NA,"hsa-miR-548ba",-10.6,1600,1621,0.998518501254734
"ENST00000680207",NA,NA,"hsa-miR-548ba",-10.6,1425,1446,0.998518501254734
"ENST00000680379",NA,NA,"hsa-miR-548ba",-10.6,361,382,0.998518501254734
"ENST00000680469",NA,NA,"hsa-miR-548ba",-10.6,361,382,0.998518501254734
"ENST00000680780",NA,NA,"hsa-miR-548ba",-10.6,1230,1251,0.998518501254734
"ENST00000680892",NA,NA,"hsa-miR-548ba",-10.6,361,382,0.998518501254734
"ENST00000680963",NA,NA,"hsa-miR-548ba",-10.6,361,382,0.998518501254734
"ENST00000681106",NA,NA,"hsa-miR-548ba",-10.6,361,382,0.998518501254734
"ENST00000681220",NA,NA,"hsa-miR-548ba",-10.6,1022,1043,0.998518501254734
"ENST00000681721",NA,NA,"hsa-miR-548ba",-10.6,361,382,0.998518501254734
"ENST00000377403","O95479","H6PD","hsa-let-7b-3p",-16.55,5356,5427,0.998518293829637
"ENST00000209884","Q9Y2M5","KLHL20","hsa-let-7b-3p",-13.3,7,24,0.99851552654539
"ENST00000275532","Q96MP8","KCTD7","hsa-let-7b-3p",-14.72,3263,3310,0.998513969433638
"ENST00000311417","Q9HA38","ZMAT3","hsa-let-7b-3p",-19.05,6873,6928,0.998513969433638
"ENST00000639828",NA,NA,"hsa-let-7b-3p",-14.72,3210,3257,0.998513969433638
"ENST00000639879",NA,NA,"hsa-let-7b-3p",-14.72,3943,3990,0.998513969433638
"ENST00000254963","Q96MM6","HSPA12B","hsa-miR-548ba",-12.59,786,808,0.998513479537785
"ENST00000399701","Q5JX83","HSPA12B","hsa-miR-548ba",-12.59,786,808,0.998513479537785
"ENST00000513143","Q86YL7","PDPN","hsa-miR-548ba",-11.1,559,578,0.998513479537785
"ENST00000521654","Q8TC41","RNF217","hsa-miR-548ba",-9.2,8946,8968,0.998513479537785
"ENST00000352511","Q13705","ACVR2B","hsa-let-7b-3p",-18.54,6156,6195,0.998513379717984
"ENST00000447906","Q01804","OTUD4","hsa-let-7b-3p",-17.72,1720,1762,0.998513379717984
"ENST00000454497","Q01804","OTUD4","hsa-let-7b-3p",-17.72,1720,1762,0.998513379717984
"ENST00000035307","Q9P2E5","CHPF2","hsa-let-7b-5p",-22.7,16,46,0.998513269242763
"ENST00000287152","Q6ZMV9","KIF6","hsa-let-7b-3p",-16.2,3906,3968,0.998513269242763
"ENST00000302103","Q9Y231","FUT9","hsa-let-7b-5p",-17,8099,8133,0.998513269242763
"ENST00000338970","P50914","RPL14","hsa-let-7b-5p",-17.83,4378,4417,0.998513269242763
"ENST00000358293","Q9NTX9","FAM217B","hsa-let-7b-5p",-18,2536,2576,0.998513269242763
"ENST00000360816","Q9NTX9","FAM217B","hsa-let-7b-5p",-18,2536,2576,0.998513269242763
"ENST00000368836","Q5JPI9","METTL10","hsa-let-7b-5p",-19.21,929,963,0.998513269242763
"ENST00000394362","Q2MDE8","KIF6","hsa-let-7b-3p",-18.96,268,310,0.998513269242763
"ENST00000396203","P50914","RPL14","hsa-let-7b-5p",-17.83,4378,4417,0.998513269242763
"ENST00000466270","G3V238","METTL10","hsa-let-7b-5p",-19.21,1494,1528,0.998513269242763
"ENST00000495645","G5E9W2","CHPF2","hsa-let-7b-5p",-22.7,16,46,0.998513269242763
"ENST00000564090","J3QKK5","DYNC1LI2","hsa-let-7b-5p",-20.65,134,191,0.998513269242763
"ENST00000568180","H3BU48","DYNC1LI2","hsa-let-7b-5p",-20.65,3,60,0.998513269242763
"ENST00000579900","J3QL91","NUP85","hsa-let-7b-3p",-17.49,91,134,0.998513269242763
"ENST00000635937",NA,"ABHD14A-ACY1","hsa-let-7b-3p",-21.12,1459,1508,0.998513269242763
"ENST00000636490",NA,"ABHD14A-ACY1","hsa-let-7b-3p",-21.12,1427,1476,0.998513269242763
"ENST00000636826",NA,"ABHD14A-ACY1","hsa-let-7b-3p",-21.12,1235,1284,0.998513269242763
"ENST00000637025",NA,"ABHD14A-ACY1","hsa-let-7b-3p",-21.12,1425,1474,0.998513269242763
"ENST00000637130",NA,"ABHD14A-ACY1","hsa-let-7b-3p",-21.12,1423,1472,0.998513269242763
"ENST00000637778",NA,"ABHD14A-ACY1","hsa-let-7b-3p",-21.12,1950,1999,0.998513269242763
"ENST00000638473",NA,NA,"hsa-let-7b-5p",-21.9,2409,2456,0.998513269242763
"ENST00000640652",NA,NA,"hsa-let-7b-5p",-21.9,1302,1349,0.998513269242763
"ENST00000650455",NA,NA,"hsa-let-7b-5p",-18.28,2151,2203,0.998513269242763
"ENST00000652548",NA,NA,"hsa-let-7b-5p",-19.21,835,869,0.998513269242763
"ENST00000658209",NA,NA,"hsa-let-7b-5p",-21.9,1280,1327,0.998513269242763
"ENST00000367446","P10155","TROVE2","hsa-miR-548ba",-15.49,111,131,0.99850848062888
"ENST00000519607","E5RGX7","NUDCD1","hsa-miR-548ba",-13,113,151,0.99850848062888
"ENST00000533854","Q9UF02","CACNG5","hsa-miR-548ba",-13.85,927,967,0.99850848062888
"ENST00000644266",NA,NA,"hsa-let-7b-5p",-18.85,255,304,0.99850848062888
"ENST00000641661",NA,NA,"hsa-let-7b-5p",-16.82,104,155,0.998506251351177
"ENST00000644923",NA,NA,"hsa-let-7b-3p",-17.18,972,1022,0.998506251351177
"ENST00000245304","P10114","RAP2A","hsa-miR-548ba",-12.46,1119,1165,0.998505840700875
