"uniprot_id","species","term_ID","term_description","observed_gene_count","background_gene_count","strength","signal","false_discovery_rate","matching_proteins_labels_network","annotation_stringdb","protein_name_uniprot","cc_function_uniprot","go_p_uniprot","go_f_uniprot","description_eggnog","preferred_name_eggnog","pfams_eggnog","interpro_description_ips","signature_description_ips","dataset","category_of_interest","enrichment_method","protein_db","taxon_id","assembly_name","stringdb_id"
"A0A182GE35","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG008334","Cation-transporting ATPase; Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type V subfamily.",NA,NA,"intracellular calcium ion homeostasis","ATP binding; ATP hydrolysis activity; ATPase-coupled monoatomic cation transmembrane transporter activity; P-type transmembrane transporter activity; polyamine transmembrane transporter activity","Cation-transporting atpase",NA,"Cation_ATPase,Cation_ATPase_N,E1-E2_ATPase,Hydrolase,P5-ATPase",NA,"P-type ATPase, cytoplasmic domain N","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GE86","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG008406","RRM domain-containing protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GE93","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG005310","Non-specific serine/threonine protein kinase.","non-specific serine/threonine protein kinase",NA,"intracellular signal transduction; microtubule cytoskeleton organization","ATP binding; protein serine/threonine kinase activity","protein serine threonine kinase activity. It is involved in the biological process described with protein phosphorylation","SIK3","KA1,Pkinase","Protein kinase SIK1/2/3, UBA domain","Protein kinase SIK3 UBA domain","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GEB4","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG008439","Uncharacterized protein; Belongs to the GST superfamily.","glutathione transferase",NA,"glutathione metabolic process","glutathione transferase activity","Glutathione S-transferase, N-terminal domain","GSTD6","GST_C,GST_C_2,GST_N,GST_N_3","Glutathione S-transferase, N-terminal","Glutathione S-transferase, N-terminal domain","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GEC6","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG008456","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GEG3","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG008498","ATP-dependent DNA helicase; Belongs to the helicase family. RecQ subfamily.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GEI8","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG008536","Reverse transcriptase domain-containing protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GEP3","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG008617","Acyl-coenzyme A oxidase; Belongs to the acyl-CoA oxidase family.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GEP8","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG008622","ATP-dependent DNA helicase; Belongs to the helicase family. RecQ subfamily.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GEQ8","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG008643","mRNA_cap_enzyme domain-containing protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GER1","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG008646","Histone H2B; Belongs to the histone H2B family.","Histone H2B","Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling",NA,"DNA binding; protein heterodimerization activity; structural constituent of chromatin","Histone H2B",NA,"Histone","Core Histone H2A/H2B/H3 domain","Core histone H2A/H2B/H3/H4 domain","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GER9","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG008658","GCFC domain-containing protein.",NA,NA,"spliceosomal complex disassembly","DNA binding","GC-rich sequence DNA-binding factor","PAXBP1","GCFC,NTR2","GCF, C-terminal","GC-rich sequence DNA-binding factor-like protein","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GEY8","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG008758","PAP-associated domain-containing protein.",NA,NA,"RNA 3'-end processing","poly(A) RNA polymerase activity","Cid1 family poly A polymerase","PAPD4","NTP_transf_2,PAP_assoc","PAP/25A-associated","Cid1 family poly A polymerase","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GEZ6","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG008767","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GFC5","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG008946","Clathrin_bdg domain-containing protein.",NA,NA,"intracellular transport","clathrin binding","Clathrin-binding box of Aftiphilin, vesicle trafficking","AFTPH","Clathrin_bdg","Aftiphilin, clathrin-binding box","Clathrin-binding box of Aftiphilin, vesicle trafficking","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GFC6","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG008947","Uncharacterized protein.","RRM domain-containing protein",NA,"mRNA splicing, via spliceosome","mRNA 3'-UTR binding","Heterogeneous nuclear ribonucleoprotein","HNRNPA2B1","HnRNPA1,RRM_1","RNA recognition motif domain","RNA recognition motif","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GFE7","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG008969","Ubiquitin carboxyl-terminal hydrolase.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GFG3","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG008994","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GFK3","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG009046","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GFQ8","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG009132","alpha-1,2-Mannosidase; Belongs to the glycosyl hydrolase 47 family.","alpha-1,2-Mannosidase","Involved in the endoplasmic reticulum-associated degradation (ERAD) pathway that targets misfolded glycoproteins for degradation in an N-glycan-dependent manner. May initiate ERAD by promoting the first mannose trimming step of ERAD substrates, from Man9GlcNAc2 to Man8GlcNAc2. Seems to recognize and bind to exposed hydrophobic regions in target proteins","carbohydrate metabolic process; endoplasmic reticulum mannose trimming","calcium ion binding; mannosyl-oligosaccharide 1,2-alpha-mannosidase activity","Belongs to the glycosyl hydrolase 47 family","EDEM2","Glyco_hydro_47","Glycoside hydrolase family 47","Glycosyl hydrolase family 47","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GFS4","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG009151","HECT domain-containing protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GFX2","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG009226","PX domain-containing protein.",NA,NA,NA,"ATP binding; phosphatidylinositol binding","Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family","KIF16B","FHA,Kinesin,PX","Forkhead-associated (FHA) domain","FHA domain","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GG23","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG009300","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GGX6","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG009705","Elongation factor G, mitochondrial; Mitochondrial GTPase that catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post-translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GH02","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG009737","USP domain-containing protein.","ubiquitinyl hydrolase 1",NA,"protein deubiquitination","cysteine-type deubiquitinase activity","Belongs to the peptidase C19 family","USP32","DUSP,EF-hand_5,UCH,Ubiquitin_3","Peptidase C19, ubiquitin carboxyl-terminal hydrolase","Ubiquitin carboxyl-terminal hydrolase","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GH29","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG009773","Uncharacterized protein.",NA,NA,"DNA biosynthetic process",NA,"Reverse transcriptase (RNA-dependent DNA polymerase)",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GHS1","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG010133","Elongation factor 1-alpha; This protein promotes the GTP-dependent binding of aminoacyl- tRNA to the A-site of ribosomes during protein biosynthesis.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GHU5","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG010182","ADH_zinc_N domain-containing protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GHU9","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG010187","Uncharacterized protein.","E3 ubiquitin-protein ligase",NA,"DNA repair; proteasome-mediated ubiquitin-dependent protein catabolic process; protein polyubiquitination; regulation of signal transduction","ubiquitin protein ligase activity; zinc ion binding","WWE domain",NA,"HECT,WWE","WWE domain","WWE domain","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GIH4","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG010481","Uncharacterized protein.","Transmembrane protein 192",NA,NA,NA,"TMEM192 family","TMEM192","TMEM192","TMEM192 family","TMEM192 family","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GIN2","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG010567","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GIS9","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG010630","Uncharacterized protein; Belongs to the mitochondrial carrier (TC 2.A.29) family.","Mitochondrial thiamine pyrophosphate carrier","Mitochondrial transporter mediating uptake of thiamine diphosphate into mitochondria. It is not clear if the antiporter activity is affected by the membrane potential or by the proton electrochemical gradient",NA,"transmembrane transporter activity","Belongs to the mitochondrial carrier (TC 2.A.29) family","SLC25A19","Mito_carr","Mitochondrial carrier protein, transmembrane region","Mitochondrial carrier protein","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GIZ3","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG010717","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GJ49","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG010799","Uncharacterized protein.",NA,NA,NA,NA,"Reverse transcriptase (RNA-dependent DNA polymerase)",NA,"RVT_2,Retrotran_gag_2,gag_pre-integrs,rve",NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GJ96","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG010898","Uncharacterized protein.",NA,NA,NA,NA,"interkinetic nuclear migration","PCM1","PCM1_C",NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GJD7","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG010956","Uncharacterized protein.","Protein MON2 homolog",NA,"protein transport",NA,"C-terminal region of Mon2 protein","MON2","DCB,DUF1981,Mon2_C,Sec7_N","Mon2/Sec7/BIG1-like, HUS domain","Mon2/Sec7/BIG1-like, HUS domain","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GJV0","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG011190","Uncharacterized protein; Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GK16","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG011270","CPSF_A domain-containing protein.","Cleavage and polyadenylation specificity factor subunit 1",NA,NA,"nucleic acid binding","Mono-functional DNA-alkylating methyl methanesulfonate N-term","CPSF1","CPSF_A,MMS1_N","RSE1/DDB1/CPSF1, second beta-propeller","RSE1/DDB1/CPSF1 second beta-propeller","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GK33","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG011302","Uncharacterized protein.",NA,"Has both L-asparaginase and beta-aspartyl peptidase activity. Does not have aspartylglucosaminidase activity and is inactive toward GlcNAc-L-Asn. Likewise, has no activity toward glutamine","asparagine catabolic process via L-aspartate; proteolysis","asparaginase activity; beta-aspartyl-peptidase activity","Asparaginase",NA,"Asparaginase_2","Peptidase T2, asparaginase 2","Asparaginase","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GKJ0","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG011501","Uncharacterized protein.",NA,NA,"protein localization","protein kinase A binding","Regulator of G protein signalling domain","AKAP10","RGS","RGS domain","Regulator of G protein signaling domain","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GKK8","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG011530","CNDH2_C domain-containing protein.",NA,NA,"meiotic chromosome condensation; mitotic sister chromatid separation","chromatin binding","Condensin II complex subunit CAP-H2 or CNDH2, C-term","NCAPH2","CNDH2_C,CNDH2_M,CNDH2_N","Condensin-2 complex subunit H2, C-terminal","Condensin II complex subunit CAP-H2 or CNDH2, C-terminal wHTH domain","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GKQ4","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG011598","Uncharacterized protein.",NA,NA,"chromatin remodeling; regulation of DNA-templated transcription","lysine-acetylated histone binding","Bromodomain extra-terminal - transcription regulation","BRD4","BET,BRD4_CDT,Bromodomain","Bromodomain","Bromodomain","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GKR1","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG011607","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GL31","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG011766","SECA_MOTOR_DEAD domain-containing protein.",NA,NA,"intracellular protein transport; protein import; protein targeting","ATP binding","A nuclease family of the HNH/ENDO VII superfamily with conserved AHH",NA,"AHH,Helicase_C,SEC-C,SecA_DEAD,SecA_PP_bind,SecA_SW","SecA DEAD-like, N-terminal","SecA DEAD-like domain","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GL33","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG011773","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GLB9","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG011899","KH domain-containing protein.","K Homology domain-containing protein",NA,"regulation of mRNA splicing, via spliceosome","mRNA binding","Homodimerisation region of STAR domain protein","QKI","KH_1,Quaking_NLS,STAR_dimer","KHDC4/BBP-like, KH-domain type I","KHDC4/BBP-like, KH-domain type I","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GLF1","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG011959","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GLI1","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG012000","UDP-glucuronosyltransferase; Belongs to the UDP-glycosyltransferase family.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GLJ0","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG012009","Uncharacterized protein.",NA,NA,NA,"nuclear receptor activity; sequence-specific DNA binding; zinc ion binding","Nuclear hormone receptor ftz-f1 beta","Hr39","Hormone_recep,zf-C4","Nuclear hormone receptor, ligand-binding domain","Ligand-binding domain of nuclear hormone receptor","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GLV4","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG012161","TPR_REGION domain-containing protein.","Cell division cycle protein 27 homolog",NA,"anaphase-promoting complex-dependent catabolic process; cell division; metaphase/anaphase transition of mitotic cell cycle; protein ubiquitination",NA,"Anaphase-promoting complex, cyclosome, subunit 3","CDC27","ANAPC3,TPR_1,TPR_16,TPR_6,TPR_8",NA,"Anaphase-promoting complex, cyclosome, subunit 3","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GM05","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG012242","BHLH domain-containing protein.",NA,NA,"cell differentiation; circadian regulation of gene expression; negative regulation of transcription by RNA polymerase II","protein dimerization activity","helix loop helix domain","ID2","HLH","Myc-type, basic helix-loop-helix (bHLH) domain","Helix-loop-helix DNA-binding domain","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GM34","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG012281","WD_REPEATS_REGION domain-containing protein.","DDB1- and CUL4-associated factor 7",NA,NA,NA,"WD40 repeats","DCAF7","WD40","WD40 repeat","WD domain, G-beta repeat","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GM48","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG012306","Uncharacterized protein.","Mediator of RNA polymerase II transcription subunit 29",NA,"regulation of transcription by RNA polymerase II","transcription coregulator activity","Component of the Mediator complex, a coactivator involved in the regulated transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene-specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors (By similarity)","MED29","Med29","Mediator complex, subunit Med29, metazoa","Mediator complex subunit 29","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GMC1","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG012416","Coatomer subunit gamma; The coatomer is a cytosolic protein complex that binds to dilysine motifs and reversibly associates with Golgi non-clathrin- coated vesicles, which further mediate biosynthetic protein transport from the ER, via the Golgi up to the trans Golgi network. Coatomer complex is required for budding from Golgi membranes, and is essential for the retrograde Golgi-to-ER transport of dilysine-tagged proteins.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GMD7","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG012454","RRM domain-containing protein.","Cleavage and polyadenylation specificity factor subunit 6",NA,"mRNA processing","RNA binding","RNA recognition motif","CPSF6","RRM_1","CPSF6/7, RSLD domain, N-terminal region","CPSF6-like, RSLD domain, N-terminal region","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GMK4","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG012545","Uncharacterized protein.",NA,NA,NA,"DNA-binding transcription factor activity, RNA polymerase II-specific; zinc ion binding","Zinc finger, C2H2 type",NA,"zf-AD,zf-C2H2","Zinc finger C2H2-type","Zinc finger, C2H2 type","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GMR2","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG012611","ATG16 domain-containing protein.",NA,NA,"autophagosome assembly","protein-membrane adaptor activity","Autophagy related gene","ATG16L1","ATG16,WD40","Autophagy-related protein 16 domain","Autophagy protein 16 (ATG16)","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GMS9","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG012629","Lipid_DES domain-containing protein; Belongs to the fatty acid desaturase type 1 family. DEGS subfamily.","sphingolipid 4-desaturase",NA,"ceramide biosynthetic process","sphingolipid delta-4 desaturase activity","Sphingolipid delta 4 desaturase c-4 hydroxylase protein des2","DEGS1","FA_desaturase,Lipid_DES","Fatty acid desaturase domain","Fatty acid desaturase","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GMV3","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG012680","SAP130_C domain-containing protein.",NA,NA,"negative regulation of transcription by RNA polymerase II",NA,"Histone deacetylase complex subunit SAP130 C-terminus","SAP130","SAP130_C","Histone deacetylase complex subunit SAP130, C-terminal domain","Histone deacetylase complex subunit SAP130 C-terminus","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GMX8","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG012708","Retrotrans_gag domain-containing protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GMZ4","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG012728","Exonuclease domain-containing protein.","Probable oligoribonuclease",NA,NA,"3'-5'-RNA exonuclease activity; nucleic acid binding","Oligoribonuclease",NA,"RNase_T","Ribonuclease H-like domain","Exonuclease","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
